商品名字,综合评分,性价比,功效,口味,包装,星座,性别,喜好种类,职业,年龄,口味喜好,个性标签,报告URL
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,白羊,女,零食,白领,30-34岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56698419
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,巨蟹,男,主食,白领,30-34岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56770664
冬虫夏草花 滋补煲汤食材,4.8,5,5,5,4,狮子,男,生鲜,学生,25-29岁,海鲜,宅男,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56750707
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,射手,男,主食,白领,25-29岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56622304
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,水瓶,女,水果,全职妈妈,18-24岁,海鲜,腐女,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56620144
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,金牛,女,坚果,白领,30-34岁,海鲜,腐女,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56732426
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,白羊,女,水果,白领,30-34岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56770745
冬虫夏草花 滋补煲汤食材,4.5,4,5,5,4,处女,女,坚果,自由职业者,25-29岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56712369
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,白羊,男,主食,其他,30-34岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56776526
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,天蝎,女,坚果,白领,35-39岁,海鲜,闷骚,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56742235
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,水瓶,男,冲饮,自由职业者,50岁以上,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56774428
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,狮子,女,零食,全职妈妈,25-29岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56640237
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,处女,男,生鲜,白领,40-49岁,海鲜,宅男,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56778465
冬虫夏草花 滋补煲汤食材,4.3,5,4,3,5,天蝎,女,坚果,公务员,25-29岁,川味,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56702238
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,双子,女,零食,全职妈妈,18-24岁,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56694030
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,处女,男,冲饮,其他,40-49岁,海鲜,宅男,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56620077
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,巨蟹,女,零食,其他,40-49岁,川味,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56704252
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,射手,女,水果,全职妈妈,25-29岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56728173
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,双鱼,女,零食,白领,30-34岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56728425
冬虫夏草花 滋补煲汤食材,4.8,4,5,5,5,射手,女,主食,其他,18-24岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56702313
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,白羊,男,主食,白领,30-34岁,川味,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56728730
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,巨蟹,女,生鲜,自由职业者,35-39岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56734443
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,天蝎,女,主食,白领,40-49岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56720402
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,摩羯,女,主食,白领,25-29岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56606027
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,水瓶,男,坚果,其他,35-39岁,川味,潘,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56718058
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,白羊,女,零食,白领,18-24岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56702574
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,天秤,女,主食,全职妈妈,30-34岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56584468
冬虫夏草花 滋补煲汤食材,4.8,4,5,5,5,射手,男,主食,其他,40-49岁,酸辣,宅男,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56618264
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,双鱼,女,主食,其他,18-24岁,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56624241
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,巨蟹,女,水果,其他,30-34岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56726168
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,天秤,女,零食,其他,25-29岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56624193
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56716426
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,巨蟹,女,零食,自由职业者,40-49岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56636191
冬虫夏草花 滋补煲汤食材,4.8,4,5,5,5,巨蟹,男,肉脯,自由职业者,40-49岁,海鲜,宅男,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56738759
冬虫夏草花 滋补煲汤食材,4,4,3,4,5,巨蟹,女,水果,其他,40-49岁,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56614117
冬虫夏草花 滋补煲汤食材,5,5,5,5,5,,男,坚果,公务员,50岁以上,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56634107
冬虫夏草花 滋补煲汤食材,4.8,5,5,5,4,金牛,男,零食,其他,35-39岁,川味,宅男,https://try.taobao.com/report/view.htm?itemId=32554209&reportId=56710867
康美人生正宗玉树冬虫夏草1克装,5,5,5,5,5,金牛,女,生鲜,公务员,25-29岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=32216005&reportId=56136086
康美人生正宗玉树冬虫夏草1克装,4.5,5,4,5,4,天秤,女,水果,自由职业者,30-34岁,川味,小资,https://try.taobao.com/report/view.htm?itemId=32216005&reportId=56042647
免费试用滋补软黄金之冬虫夏草,5,5,5,5,5,狮子,女,零食,公务员,25-29岁,川味,小资,https://try.taobao.com/report/view.htm?itemId=31696246&reportId=55564122
免费试用滋补软黄金之冬虫夏草,4.8,5,5,4,5,摩羯,女,主食,其他,18-24岁,川味,其他,https://try.taobao.com/report/view.htm?itemId=31696246&reportId=55644444
免费试用滋补软黄金之冬虫夏草,5,5,5,5,5,摩羯,男,主食,其他,25-29岁,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=31696246&reportId=55610482
冬虫夏草4根1克,5,5,5,5,5,水瓶,女,生鲜,公务员,30-34岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=31606332&reportId=55534508
冬虫夏草4根1克,4.8,4,5,5,5,天蝎,女,生鲜,白领,30-34岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=31606332&reportId=55540502
冬虫夏草4根1克,5,5,5,5,5,处女,男,零食,自由职业者,25-29岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=31606332&reportId=55598908
冬虫夏草4根1克,5,5,5,5,5,巨蟹,男,冲饮,自由职业者,35-39岁,川味,宅男,https://try.taobao.com/report/view.htm?itemId=31606332&reportId=55540273
东阳光冬虫夏草1g/5根AA级,5,5,5,5,5,天蝎,女,水果,全职妈妈,35-39岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=31398149&reportId=55028615
东阳光冬虫夏草1g/5根AA级,5,5,5,5,5,双子,男,冲饮,白领,40-49岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=31398149&reportId=55058159
东阳光冬虫夏草1g/5根AA级,4.8,4,5,5,5,双鱼,男,酒水,自由职业者,30-34岁,甜食,宅男,https://try.taobao.com/report/view.htm?itemId=31398149&reportId=55018903
东阳光冬虫夏草1g/5根AA级,4.5,4,5,5,4,巨蟹,女,生鲜,学生,18-24岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=31398149&reportId=54996363
东阳光冬虫夏草1g/5根AA级,5,5,5,5,5,处女,女,主食,其他,18-24岁,海鲜,潘,https://try.taobao.com/report/view.htm?itemId=31398149&reportId=55098776
东阳光冬虫夏草1g/5根AA级,5,5,5,5,5,白羊,女,冲饮,公务员,40-49岁,川味,小资,https://try.taobao.com/report/view.htm?itemId=31398149&reportId=55104951
青藏高原野生冬虫夏草1g,5,5,5,5,5,天蝎,男,主食,白领,25-29岁,川味,其他,https://try.taobao.com/report/view.htm?itemId=30674254&reportId=54478013
冬虫夏草 新鲜的更好,5,5,5,5,5,巨蟹,女,水果,学生,18-24岁,酸辣,其他,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=54046718
冬虫夏草 新鲜的更好,5,5,5,5,5,狮子,男,冲饮,公务员,40-49岁,川味,宅男,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=53816721
冬虫夏草 新鲜的更好,4.5,5,4,4,5,水瓶,男,生鲜,白领,30-34岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=54260230
冬虫夏草 新鲜的更好,5,5,5,5,5,水瓶,女,水果,教师,35-39岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=53812047
冬虫夏草 新鲜的更好,5,5,5,5,5,天蝎,女,生鲜,自由职业者,35-39岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=53932024
冬虫夏草 新鲜的更好,5,5,5,5,5,狮子,女,生鲜,白领,30-34岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=54062116
冬虫夏草 新鲜的更好,5,5,5,5,5,双子,女,零食,自由职业者,25-29岁,川味,小资,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=54320316
冬虫夏草 新鲜的更好,5,5,5,5,5,摩羯,男,主食,其他,30-34岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=54222457
冬虫夏草 新鲜的更好,5,5,5,5,5,双鱼,女,零食,学生,25-29岁,川味,其他,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=54048047
冬虫夏草 新鲜的更好,4.5,4,4,5,5,摩羯,女,主食,全职妈妈,35-39岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=53698010
冬虫夏草 新鲜的更好,5,5,5,5,5,天蝎,男,酒水,自由职业者,40-49岁,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=54052687
冬虫夏草 新鲜的更好,5,5,5,5,5,巨蟹,女,水果,白领,30-34岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=54194530
冬虫夏草 新鲜的更好,5,5,5,5,5,狮子,男,主食,自由职业者,25-29岁,海鲜,高富帅,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=53838739
冬虫夏草 新鲜的更好,5,5,5,5,5,射手,女,坚果,教师,35-39岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=53802960
冬虫夏草 新鲜的更好,5,5,5,5,5,射手,女,主食,白领,30-34岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=30246169&reportId=53836426
正宗玉树冬虫夏草4根/g,5,5,5,5,5,巨蟹,女,水果,白领,25-29岁,甜食,潘,https://try.taobao.com/report/view.htm?itemId=29972091&reportId=53484401
正宗玉树冬虫夏草4根/g,5,5,5,5,5,狮子,男,冲饮,白领,18-24岁,川味,小资,https://try.taobao.com/report/view.htm?itemId=29972091&reportId=53396363
冬虫夏草5根/g那曲虫草,5,5,5,5,5,水瓶,女,零食,自由职业者,18-24岁,甜食,腐女,https://try.taobao.com/report/view.htm?itemId=29352092&reportId=53098076
冬虫夏草5根/g那曲虫草,5,5,5,5,5,天蝎,男,坚果,白领,35-39岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=29352092&reportId=52764504
正宗玉树冬虫夏草4根/g,4.8,5,4,5,5,天秤,女,冲饮,白领,25-29岁,川味,腐女,https://try.taobao.com/report/view.htm?itemId=28458152&reportId=52094128
西藏野生冬虫夏草胶囊正品,5,5,5,5,5,射手,女,水果,学生,18-24岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=28410077&reportId=51936121
西藏野生冬虫夏草胶囊正品,5,5,5,5,5,狮子,女,主食,白领,30-34岁,甜食,腐女,https://try.taobao.com/report/view.htm?itemId=28410077&reportId=51824098
西藏野生冬虫夏草胶囊正品,5,5,5,5,5,天蝎,男,主食,其他,40-49岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=28410077&reportId=51884154
冬虫夏草礼盒装,5,5,5,5,5,白羊,女,生鲜,其他,35-39岁,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=28076155&reportId=51252046
茗德 那曲野生冬虫夏草,5,5,5,5,5,天蝎,女,水果,教师,18-24岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=27656070&reportId=51110112
滋补品中黄金―西藏那曲冬虫夏草,4.8,5,5,4,5,双子,男,生鲜,其他,18-24岁,海鲜,潘,https://try.taobao.com/report/view.htm?itemId=24984068&reportId=48432020
滋补品中黄金―西藏那曲冬虫夏草,5,5,5,5,5,处女,女,主食,白领,35-39岁,甜食,潘,https://try.taobao.com/report/view.htm?itemId=24984068&reportId=48062266
滋补品中黄金―西藏那曲冬虫夏草,5,5,5,5,5,双鱼,男,生鲜,其他,25-29岁,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=24984068&reportId=47802288
滋补品中黄金―西藏那曲冬虫夏草,5,5,5,5,5,巨蟹,男,水果,其他,25-29岁,川味,其他,https://try.taobao.com/report/view.htm?itemId=24984068&reportId=47898020
冬虫夏草3根/克,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=23584624&reportId=45992227
冬虫夏草3根/克,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=23584624&reportId=45962643
冬虫夏草3根/克,4.8,5,5,4,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=23584624&reportId=45904077
冬虫夏草3根/克,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=23584624&reportId=46048730
冬虫夏草3根/克,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=23584624&reportId=46074330
正宗西藏那曲冬虫夏草,5,5,5,5,5,水瓶,女,零食,自由职业者,30-34岁,酸辣,小资,https://try.taobao.com/report/view.htm?itemId=23462544&reportId=45982126
正宗西藏那曲冬虫夏草,4.8,5,5,5,4,天秤,女,主食,白领,30-34岁,甜食,其他,https://try.taobao.com/report/view.htm?itemId=23462544&reportId=45886344
正宗西藏那曲冬虫夏草,4.8,5,5,4,5,天蝎,男,酒水,其他,35-39岁,甜食,潘,https://try.taobao.com/report/view.htm?itemId=23462544&reportId=45876874
久羚玉树雪山冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=23032085&reportId=44810772
久羚玉树雪山冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=23032085&reportId=44902416
久羚玉树雪山冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=23032085&reportId=45292384
久羚玉树雪山冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=23032085&reportId=44712457
钰爵冬虫夏草4条/克,5,5,5,5,5,水瓶,女,生鲜,其他,18-24岁,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=22488896&reportId=42806422
钰爵冬虫夏草4条/克,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=22488896&reportId=42738832
钰爵冬虫夏草4条/克,5,5,5,5,5,处女,女,主食,其他,30-34岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=22488896&reportId=43182955
钰爵冬虫夏草4条/克,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=22488896&reportId=42994122
滋补臻品 西藏那曲冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21706193&reportId=41994158
滋补臻品 西藏那曲冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21706193&reportId=41978705
滋补臻品 西藏那曲冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21706193&reportId=42498391
滋补臻品 西藏那曲冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21706193&reportId=42240040
滋补臻品 西藏那曲冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21706193&reportId=42468482
滋补臻品 西藏那曲冬虫夏草,4.3,4,4,5,4,狮子,男,主食,白领,25-29岁,甜食,潘,https://try.taobao.com/report/view.htm?itemId=21706193&reportId=42146710
滋补臻品 西藏那曲冬虫夏草,5,5,5,5,5,天蝎,男,生鲜,其他,35-39岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=21706193&reportId=42334026
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41976204
精选四川阿坝冬虫夏草,5,5,5,5,5,狮子,女,零食,白领,18-24岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42588108
精选四川阿坝冬虫夏草,4.5,5,4,4,5,处女,女,零食,其他,25-29岁,甜食,腐女,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42238085
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42224713
精选四川阿坝冬虫夏草,4.8,5,5,4,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41918113
精选四川阿坝冬虫夏草,5,5,5,5,5,巨蟹,女,零食,学生,18-24岁,甜食,土豪,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41910286
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41996558
精选四川阿坝冬虫夏草,1.3,5,0,0,0,金牛,女,生鲜,全职妈妈,50岁以上,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41970347
精选四川阿坝冬虫夏草,4.5,5,4,4,5,金牛,女,冲饮,学生,18-24岁,甜食,潘,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42048799
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=44054079
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42056791
精选四川阿坝冬虫夏草,5,5,5,5,5,水瓶,女,零食,学生,18岁以下,川味,其他,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42160740
精选四川阿坝冬虫夏草,5,5,5,5,5,天秤,男,生鲜,其他,35-39岁,川味,其他,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41800808
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41792780
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42680016
精选四川阿坝冬虫夏草,5,5,5,5,5,金牛,男,主食,自由职业者,40-49岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41788552
精选四川阿坝冬虫夏草,4.5,5,5,4,4,摩羯,女,主食,白领,18-24岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42346472
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42334245
精选四川阿坝冬虫夏草,5,5,5,5,5,天秤,女,生鲜,白领,30-34岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41886965
精选四川阿坝冬虫夏草,4,4,4,4,4,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41778477
精选四川阿坝冬虫夏草,5,5,5,5,5,天蝎,女,零食,教师,18-24岁,海鲜,其他,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41796317
精选四川阿坝冬虫夏草,4.8,4,5,5,5,狮子,女,水果,自由职业者,40-49岁,川味,其他,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42326910
精选四川阿坝冬虫夏草,4.3,5,5,2,5,射手,女,零食,白领,25-29岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41800826
精选四川阿坝冬虫夏草,4.8,5,5,4,5,巨蟹,男,生鲜,白领,30-34岁,海鲜,小资,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41972259
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41936795
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42278787
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42618167
精选四川阿坝冬虫夏草,4.3,3,5,5,4,狮子,女,零食,全职妈妈,25-29岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42286928
精选四川阿坝冬虫夏草,3.8,4,5,3,3,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41914545
精选四川阿坝冬虫夏草,3.8,4,4,3,4,水瓶,女,水果,其他,25-29岁,酸辣,其他,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41798461
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41858129
精选四川阿坝冬虫夏草,5,5,5,5,5,巨蟹,女,水果,白领,25-29岁,川味,其他,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41782045
精选四川阿坝冬虫夏草,5,5,5,5,5,,,,,,,,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42230250
精选四川阿坝冬虫夏草,4.8,5,5,5,4,天秤,女,生鲜,全职妈妈,25-29岁,酸辣,其他,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=41794014
精选四川阿坝冬虫夏草,5,5,5,5,5,天蝎,女,水果,白领,18-24岁,甜食,小资,https://try.taobao.com/report/view.htm?itemId=21606463&reportId=42382070
